timestamp_ist,uid,vehicle_no,lat,lng,speed,direction,server_time
2026-04-02 16:31:21,10480,GJ18-BW-6759,20.9499022222222,72.9171511111111,7.22222222222222,258,1775127670
2026-04-02 16:31:21,10481,GJ18-BW-6540,20.9211244444444,73.0081022222222,0,183,1775127676
2026-04-02 16:31:21,10482,GJ18-BW-6697,20.9213933333333,73.0042666666667,0,272,1769584511
2026-04-02 16:31:21,10483,GJ18-BW-6637,20.9498,72.93496,7.5,97,1775127673
2026-04-02 16:31:21,10484,GJ18-BW-6753,20.95086,72.9263466666667,0,99,1770994523
2026-04-02 16:31:21,10485,GJ18-BW-6572,20.9513844444444,72.92704,0,0,1774368405
2026-04-02 16:31:21,10487,GJ18-BW-6614,20.94028,72.9095155555556,6.11111111111111,7,1775127669
2026-04-02 16:31:21,10488,GJ18-BW-5523,20.9371444444444,72.90748,4.44444444444444,85,1775127671
2026-04-02 16:31:21,10499,GJ18-BW-6812,20.8585577777778,72.9070577777778,5.55555555555556,338,1775127675
2026-04-02 16:31:21,10500,GJ18-BW-6530,20.9158288888889,72.8214266666667,16.6666666666667,58,1775127675
2026-04-02 16:31:21,10501,GJ18-BW-6520,20.9510933333333,72.9262311111111,0,0,1774630083
2026-04-02 16:31:21,10502,GJ18-BW-6757,20.9492222222222,72.94912,10,285,1775127671
2026-04-02 16:31:21,10671,MAT852002S5H16313,20.9507377777778,72.9259777777778,0,197,1772115756
2026-04-02 16:31:21,10672,MAT852002S5K19069,20.9497355555556,72.9136444444444,0,110,1775127676
2026-04-02 16:31:21,10673,MAT852002S5K19071,20.9494733333333,72.9138044444444,0,148,1775126552
2026-04-02 16:31:21,10674,GJ18-BW-6802,20.9485155555556,72.9125688888889,5.83333333333333,354,1775127671
2026-04-02 16:31:21,10925,GJ18-BW-5561,20.9491866666667,72.9138044444444,0,252,1775127533
2026-04-02 16:31:21,10926,GJ18-BW-5860,20.94984,72.9132622222222,0,344,1775127675
2026-04-02 16:31:52,10480,GJ18-BW-6759,20.9492022222222,72.9142311111111,0,254,1775127700
2026-04-02 16:31:52,10481,GJ18-BW-6540,20.9211244444444,73.0081022222222,0,183,1775127706
2026-04-02 16:31:52,10482,GJ18-BW-6697,20.9213933333333,73.0042666666667,0,272,1769584511
2026-04-02 16:31:52,10483,GJ18-BW-6637,20.9498,72.93496,0,97,1775127704
2026-04-02 16:31:52,10484,GJ18-BW-6753,20.95086,72.9263466666667,0,99,1770994523
2026-04-02 16:31:52,10485,GJ18-BW-6572,20.9513844444444,72.92704,0,0,1774368405
2026-04-02 16:31:52,10487,GJ18-BW-6614,20.9416422222222,72.90976,0,83,1775127706
2026-04-02 16:31:52,10488,GJ18-BW-5523,20.9373711111111,72.9084533333333,0,65,1775127701
2026-04-02 16:31:52,10499,GJ18-BW-6812,20.8594311111111,72.9060755555556,3.88888888888889,344,1775127705
2026-04-02 16:31:52,10500,GJ18-BW-6530,20.9178666666667,72.8250044444444,4.72222222222222,43,1775127705
2026-04-02 16:31:52,10501,GJ18-BW-6520,20.9510933333333,72.9262311111111,0,0,1774630083
2026-04-02 16:31:52,10502,GJ18-BW-6757,20.9500244444444,72.9460755555556,11.9444444444444,285,1775127701
2026-04-02 16:31:52,10671,MAT852002S5H16313,20.9507377777778,72.9259777777778,0,197,1772115756
2026-04-02 16:31:52,10672,MAT852002S5K19069,20.9497355555556,72.9136444444444,0,110,1775127706
2026-04-02 16:31:52,10673,MAT852002S5K19071,20.9494733333333,72.9138044444444,0,148,1775126552
2026-04-02 16:31:52,10674,GJ18-BW-6802,20.9496466666667,72.9122755555556,3.33333333333333,341,1775127701
